eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss
50.0,1000,0.0,,,,,,,,,,,,,,,
50.0,2000,0.0,,,,,,,,,,,,,,,
,2048,,20,50.0,1,0.09,102,,,,,,,,,,
50.0,3000,0.0,,,,,,10,0.006259031593799591,0.043734302587108684,-0.16144073009490967,0.0003,0.146044921875,0.2,-0.01758566931966925,0.018744634,-5.153415006399155
50.0,4000,0.0,,,,,,,,,,,,,,,
,4096,,19,50.0,2,0.08765432098765431,205,,,,,,,,,,
50.0,5000,0.0,,,,,,20,-0.03377498686313629,0.012384992056468036,-0.11282181739807129,0.0003,0.138427734375,0.2,-0.013179873846820556,0.016757213,-5.130423846840858
50.0,6000,0.0,,,,,,,,,,,,,,,
,6144,,19,50.0,3,0.09699999999999999,308,,,,,,,,,,
50.0,7000,0.0,,,,,,30,0.0006976928561925888,0.007099336891405983,-0.4053553342819214,0.0003,0.16435546875,0.2,-0.017622937448322773,0.016453046,-5.097193010151386
50.0,8000,0.0,,,,,,,,,,,,,,,
,8192,,19,50.0,4,0.10399999999999998,411,,,,,,,,,,
50.0,9000,0.0,,,,,,40,0.00209975172765553,0.002427162879757816,-0.6236394643783569,0.0003,0.195654296875,0.2,-0.019305995514150708,0.016361773,-5.0633167430758474
50.0,10000,0.0,,,,,,,,,,,,,,,
,10240,,19,50.0,5,0.124,514,,,,,,,,,,
50.0,11000,0.0,,,,,,50,-0.03292270377278328,0.001585384432473802,-0.05617475509643555,0.0003,0.165966796875,0.2,-0.018694477013195866,0.013708441,-5.050890558958054
50.0,12000,0.0,,,,,,,,,,,,,,,
,12288,,19,50.0,6,0.14300000000000002,618,,,,,,,,,,
50.0,13000,0.0,,,,,,60,-0.03719586133956909,0.0011770437013183255,0.4142047166824341,0.0003,0.157568359375,0.2,-0.01658859230519738,0.01500237,-5.00319144576788
50.0,14000,0.0,,,,,,,,,,,,,,,
,14336,,19,50.0,7,0.15500000000000003,721,,,,,,,,,,
50.0,15000,0.0,,,,,,70,-0.023523198440670967,0.00165614266807097,0.41230881214141846,0.0003,0.140185546875,0.2,-0.015121697264839895,0.011375154,-4.969115553796291
50.0,16000,0.0,,,,,,,,,,,,,,,
,16384,,19,50.0,8,0.16299999999999998,824,,,,,,,,,,
